id,x,y
1,-1.65,2.76
2,-1.05,2.76
3,-0.45,2.76
4,0.15,2.76
5,0.75,2.76
6,1.35,2.76
7,1.95,2.76
8,-1.95,1.85
9,-1.35,1.85
10,-0.75,1.85
11,-0.15,1.85
12,0.45,1.85
13,1.05,1.85
14,1.65,1.85
15,-1.65,0.93
16,-1.05,0.93
17,-0.45,0.93
18,0.15,0.93
19,0.75,0.93
20,1.35,0.93
21,1.95,0.93
22,-1.95,0.01
23,-1.35,0.01
24,-0.75,0.01
25,-0.15,0.01
26,-1.65,-0.91
27,-1.05,-0.91
28,-0.45,-0.91
29,0.15,-0.91
30,0.75,-0.91
31,1.35,-0.91
32,1.95,-0.91
33,-1.95,-1.82
34,-1.35,-1.82
35,-0.75,-1.82
36,-0.15,-1.82
37,0.45,-1.82
38,1.05,-1.82
39,1.65,-1.82
40,-1.65,-2.74
41,-1.05,-2.74
42,-0.45,-2.74
43,0.15,-2.74
44,0.75,-2.74
45,1.35,-2.74
46,1.95,-2.74